run_id,model_class,topology,beta,seed,subsidy,p_base_mode,final_adoption,peak_adoption_velocity,tipping_occurred,tipping_quarter,time_to_25_percent,time_to_50_percent,total_llm_calls,total_llm_failures
R_42_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,constant,2,0,False,,,,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,2,0,False,,,,0,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,2,0,False,,,,10,0
R_42_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,empirical,2,0,False,,,,10,0
R_42_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,42,0,constant,2,0,False,,,,10,0
R_42_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,42,0,empirical,2,0,False,,,,10,0
R_42_STATIC_0_emp,STATIC_BASELINE,NA,NA,42,0,empirical,2,0,False,,,,0,0
R_42_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,42,0,constant,2,0,False,,,,0,0
R_42_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,42,0,empirical,2,0,False,,,,0,0
R_42_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,42,0,constant,2,0,False,,,,10,0
R_42_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,42,0,empirical,2,0,False,,,,10,0
R_42_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,42,0,constant,2,0,False,,,,10,0
R_42_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,42,0,empirical,2,0,False,,,,10,0
R_43_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,43,0,constant,0,0,False,,,,0,0
R_43_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,43,0,empirical,0,0,False,,,,0,0
R_43_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,43,0,constant,0,0,False,,,,0,0
R_43_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,43,0,empirical,0,0,False,,,,0,0
R_43_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,43,0,constant,0,0,False,,,,0,0
R_43_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,43,0,empirical,0,0,False,,,,0,0
R_43_STATIC_0_emp,STATIC_BASELINE,NA,NA,43,0,empirical,0,0,False,,,,0,0
R_43_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,43,0,constant,0,0,False,,,,0,0
R_43_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,43,0,empirical,0,0,False,,,,0,0
R_43_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,43,0,constant,0,0,False,,,,0,0
R_43_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,43,0,empirical,0,0,False,,,,0,0
R_43_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,43,0,constant,0,0,False,,,,0,0
R_43_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,43,0,empirical,0,0,False,,,,0,0
R_44_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,44,0,constant,1,0,False,,,,0,0
R_44_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,44,0,empirical,1,0,False,,,,0,0
R_44_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,44,0,constant,1,0,False,,,,4,0
R_44_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,44,0,empirical,1,0,False,,,,4,0
R_44_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,44,0,constant,1,0,False,,,,4,0
