model_class,baseline_provider,topology,beta,subsidy,is_cognitive,count
DETERMINISTIC_EMPIRICAL_ABM,constant,barabasi_albert,0.05,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,constant,barabasi_albert,0.15,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,constant,barabasi_albert,0.3,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,constant,watts_strogatz,0.05,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,constant,watts_strogatz,0.15,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,constant,watts_strogatz,0.3,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,barabasi_albert,0.05,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,barabasi_albert,0.15,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,barabasi_albert,0.3,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,watts_strogatz,0.05,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,watts_strogatz,0.15,0.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,watts_strogatz,0.15,1000.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,watts_strogatz,0.15,5000.0,False,10
DETERMINISTIC_EMPIRICAL_ABM,empirical,watts_strogatz,0.3,0.0,False,10
HYBRID_COGNITIVE_ABM,empirical,watts_strogatz,0.15,0.0,True,10
STATIC_BASELINE,empirical,NA,NA,0.0,False,10
STATIC_BASELINE,empirical,NA,NA,1000.0,False,10
STATIC_BASELINE,empirical,NA,NA,5000.0,False,10
