run_id,model_class,baseline_provider,constant_vs_empirical,cognitive,topology,beta,subsidy,seed,n_agents,horizon
R_42_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.05,0.0,42,500,24
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.05,0.0,42,500,24
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.15,0.0,42,500,24
R_42_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.15,0.0,42,500,24
R_42_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.3,0.0,42,500,24
R_42_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.3,0.0,42,500,24
R_42_STATIC_0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,0.0,42,500,24
R_42_STATIC_1000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,1000.0,42,500,24
R_42_STATIC_5000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,5000.0,42,500,24
R_42_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.05,0.0,42,500,24
R_42_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.05,0.0,42,500,24
R_42_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.15,0.0,42,500,24
R_42_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,0.0,42,500,24
R_42_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.3,0.0,42,500,24
R_42_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.3,0.0,42,500,24
R_42_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,empirical,empirical,True,watts_strogatz,0.15,0.0,42,500,24
R_42_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,1000.0,42,500,24
R_42_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,5000.0,42,500,24
R_43_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.05,0.0,43,500,24
R_43_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.05,0.0,43,500,24
R_43_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.15,0.0,43,500,24
R_43_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.15,0.0,43,500,24
R_43_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.3,0.0,43,500,24
R_43_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.3,0.0,43,500,24
R_43_STATIC_0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,0.0,43,500,24
R_43_STATIC_1000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,1000.0,43,500,24
R_43_STATIC_5000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,5000.0,43,500,24
R_43_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.05,0.0,43,500,24
R_43_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.05,0.0,43,500,24
R_43_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.15,0.0,43,500,24
R_43_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,0.0,43,500,24
R_43_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.3,0.0,43,500,24
R_43_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.3,0.0,43,500,24
R_43_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,empirical,empirical,True,watts_strogatz,0.15,0.0,43,500,24
R_43_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,1000.0,43,500,24
R_43_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,5000.0,43,500,24
R_44_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.05,0.0,44,500,24
R_44_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.05,0.0,44,500,24
R_44_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.15,0.0,44,500,24
R_44_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.15,0.0,44,500,24
R_44_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.3,0.0,44,500,24
R_44_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.3,0.0,44,500,24
R_44_STATIC_0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,0.0,44,500,24
R_44_STATIC_1000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,1000.0,44,500,24
R_44_STATIC_5000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,5000.0,44,500,24
R_44_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.05,0.0,44,500,24
R_44_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.05,0.0,44,500,24
R_44_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.15,0.0,44,500,24
R_44_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,0.0,44,500,24
R_44_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.3,0.0,44,500,24
