model_class,topology,beta,subsidy,p_base_mode,n_runs,mean_adoption_count,mean_adoption_pct,median_adoption_pct,std_adoption_pct,min_adoption_pct,max_adoption_pct,mean_peak_new,tipping_freq
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,0.0,empirical,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,1000.0,empirical,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,2000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,491.6,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,3000.0,empirical,10,492.1,0.9842000000000001,1.0,0.033710532478737266,0.9,1.0,454.7,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,4000.0,empirical,10,477.7,0.9554,0.976,0.06744907544049643,0.784,1.0,388.5,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,5000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,0.0,empirical,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,1000.0,empirical,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,2000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,427.4,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,3000.0,empirical,10,485.2,0.9704,0.99,0.04344907619526821,0.862,1.0,391.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,4000.0,empirical,10,497.8,0.9955999999999999,0.999,0.0060221812216726565,0.984,1.0,472.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,5000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,0.0,empirical,10,146.9,0.2938,0.013000000000000001,0.45491239693911273,0.01,0.988,114.6,0.3
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,1000.0,empirical,10,146.9,0.2938,0.013000000000000001,0.45491239693911273,0.01,0.988,114.7,0.3
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,2000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,473.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,3000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,473.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,4000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,472.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,5000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,0.0,constant,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,0.0,empirical,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,1000.0,constant,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,1000.0,empirical,10,5.0,0.01,0.01,0.0,0.01,0.01,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,2000.0,constant,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,2000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,347.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,3000.0,constant,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,3000.0,empirical,10,486.2,0.9724,0.988,0.04101815316282403,0.864,1.0,359.5,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,4000.0,constant,10,482.6,0.9652000000000001,1.0,0.1100472625738596,0.652,1.0,465.4,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,4000.0,empirical,10,411.6,0.8231999999999999,0.85,0.15711340560952214,0.606,0.994,356.0,1.0
