run_id,experiment_id,model_class_x,topology,beta,seed,subsidy,dynamic_policy_x,population_size,horizon,status,provider,calibration_artifact_sha256,config_sha256,summary_sha256,trajectory_sha256,model_class_y,dynamic_policy_y,final_adoption,initial_budget,total_expenditure,exhaustion_quarter,exhaustion_subsidy,exhaustion_adoption,target_reached,saturation_reached,total_llm_calls,total_cache_hits,total_cache_misses,expenditure_millions,policy_efficiency,emissions_efficiency,time_to_50,peak_velocity,tipping_occurred
R3_COG_3000.0_False_barabasi_albert_42,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,42,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,17dea25a0dcbb800394f6098371d924681c19144f1c45b4a9d37b60c6f91cb71,d92bf57c99f8c6f17aff5a9a2433436c34e27f466dfa43e7de1d21f294dc2f49,f53846e63b973747c23824522a28471d2ce57f1a89f75e8c33801f9d0f717238,HYBRID_COGNITIVE_ABM,False,479,1000000.0,1000000.0,5.0,0.0,479.0,True,True,1349,247,1102,1.0,479.0,1963.8999999999999,4,298,1
R3_COG_3000.0_False_barabasi_albert_43,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,43,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,1d852e5e04d63c6c0cd8442ab9c9ed37e737e049248dda01060a517bf2854172,20e50cfb91117d98b3508b852c7387148873f63b612d0714e5ad8f70062d0b97,6da9654dc21df7f0d074052a113891fbf21690873293192144ede998010ebbdf,HYBRID_COGNITIVE_ABM,False,500,1000000.0,1000000.0,9.0,0.0,500.0,True,True,3448,722,2726,1.0,500.0,2050.0,8,476,1
R3_COG_3000.0_False_barabasi_albert_44,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,44,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,2f294e55da0ebc4fc54d9ad469364f1fabc6603c80f2aa0e6a38464691f981ff,58d1c59c6b058cc83e45b077df818e128f1499c0e00dcdac55f70cd2b8b1909e,af7fe1d4c90a9c3682ce7cebcb4a48f3fb9041d01f95e245205ba946dea79ab4,HYBRID_COGNITIVE_ABM,False,496,1000000.0,1000000.0,4.0,0.0,496.0,True,True,999,214,785,1.0,496.0,2033.6,3,487,1
R3_COG_3000.0_False_barabasi_albert_45,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,45,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,8ba4665e5c68a5b2dc95bbf36b7a2b43cd3afc6e6fb146fd224df6f145688329,4ae5b98fc50fe099fc42e61bc3e56569257b2290427b10b718c1123cfc90a082,e34a43da6bff6023ed5311fd33ba03d67c9a0dfcf5a10954d0ca5801d18f5d92,HYBRID_COGNITIVE_ABM,False,480,1000000.0,1000000.0,5.0,0.0,480.0,True,True,1361,308,1053,1.0,480.0,1967.9999999999998,4,322,1
R3_COG_3000.0_False_barabasi_albert_46,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,46,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,4fd10b68e76d528b854db5b52580453f46f14b6973e5ebd9110ae03ffa4a6e2d,deef50f29b7461c6ef2d4b803fd33525dd72f9ab61960a2c2eda7bbfd47b6c7d,aaa900459494ed35ffc1f55c30d34be65ad441eb54114e5d0c650847c8c262d2,HYBRID_COGNITIVE_ABM,False,472,1000000.0,1000000.0,3.0,0.0,472.0,True,False,396,54,342,1.0,472.0,1935.1999999999998,2,320,1
R3_COG_3000.0_False_barabasi_albert_47,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,47,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,8a41229610e600e424924ef5095dd563ac01238aef9c5310503e92a74d4e2cba,cd25e50dd5e9c55b37270d2a0e2f74a77874df5bd92b8595d431037545e0f73d,2701d7b02f206702313b30e7c837386b5730b57b5d7d29a325bb2b514b55fd65,HYBRID_COGNITIVE_ABM,False,500,1000000.0,1000000.0,10.0,0.0,500.0,True,True,3843,780,3063,1.0,500.0,2050.0,9,384,1
R3_COG_3000.0_False_barabasi_albert_48,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,48,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,402b33c50ecf5cb0855c2a304dfbf1e022c16b9af25baaf9e8f9521eac2f7e98,79aeb6d11fe453315d7717b90ae6cae2c6181d33cf577d673542e419e890bdd6,462787e7df60437e2c8fcb4ee14d2efad9eba3d35c837e8611bd1cf2f96d0121,HYBRID_COGNITIVE_ABM,False,431,1000000.0,1000000.0,3.0,0.0,431.0,True,False,626,101,525,1.0,431.0,1767.1,2,422,1
R3_COG_3000.0_False_barabasi_albert_49,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,49,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,866b493bdecd2e87ea4506297164e1d4dd65d2ece89ee843393b847ceb34a846,9375cb7442816be11b0902880dfc8c81da3b0270fb8f37aeb98fdb7aabf586fd,08a16092bb4fd35806c00f8853a5f81c09b32d6f861b70a9b0b879be3799b338,HYBRID_COGNITIVE_ABM,False,494,1000000.0,1000000.0,3.0,0.0,494.0,True,True,386,49,337,1.0,494.0,2025.3999999999999,2,371,1
R3_COG_3000.0_False_barabasi_albert_50,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,50,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,cabe6539ec4aa2302023fa5ea1462b587999901cdae0a61ceaef4baa7729c3a7,138e6d3432cc2c4b26279bf4583c058feab84138f4b85b42670d3edf98e1c2c6,a1051a60c19a935df1a31e6735e0ea72709de9ff402eb0c8f3ee38a8ada9556b,HYBRID_COGNITIVE_ABM,False,500,1000000.0,1000000.0,10.0,0.0,500.0,True,True,3815,819,2996,1.0,500.0,2050.0,9,352,1
R3_COG_3000.0_False_barabasi_albert_51,phase_4f_3,HYBRID_COGNITIVE_ABM,barabasi_albert,0.15,51,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,0402c23e03ca2cfd033aa6d1bcbe0ab47bacad01bf329a71bdc0fb688a8c3529,3c5ff933dc270adf1ffb01256af6438b41ab65c571662e2a6fc2dcc769bd5a07,4c9c9a8e63c4f92f3693a27000033b63774ed9befe521593d2a53ea2a79a052f,HYBRID_COGNITIVE_ABM,False,500,1000000.0,1000000.0,9.0,0.0,500.0,True,True,3455,736,2719,1.0,500.0,2050.0,8,486,1
R3_COG_3000.0_False_watts_strogatz_42,phase_4f_3,HYBRID_COGNITIVE_ABM,watts_strogatz,0.15,42,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,5bfc67b3f9ca88aa74da5f9f4fd1216e2329d57818e1bb67637ea7e991cdd4b2,c318a41c3f4014df2d424677eb1c47cf7fc2874fdf670480fd807b2b9cfd1ba4,3f3cf9491c346cc346e79b93cf3893dc6000ac98ce9bd2e3e9eefb23b26d11ca,HYBRID_COGNITIVE_ABM,False,494,1000000.0,1000000.0,8.0,0.0,494.0,True,True,2949,895,2054,1.0,494.0,2025.3999999999999,7,452,1
R3_COG_3000.0_False_watts_strogatz_43,phase_4f_3,HYBRID_COGNITIVE_ABM,watts_strogatz,0.15,43,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,7ac982da6dfa145b2bd37b5d8696bfb792383097cd307377cfebbab5c60a5319,854d0654670d3599ddddc912834963259d57bfb91569b926734629f1936a5253,6f67fed5ee65aa4f6a839182b9e05f600fcd7f02f2d2e3fffd81d38452de02f4,HYBRID_COGNITIVE_ABM,False,406,1000000.0,1000000.0,11.0,0.0,406.0,True,False,3458,827,2631,1.0,406.0,1664.6,10,225,1
R3_COG_3000.0_False_watts_strogatz_44,phase_4f_3,HYBRID_COGNITIVE_ABM,watts_strogatz,0.15,44,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,f2ccaa617a080db4db968d2d2dcb924f7e7aa433b83680b1b77a15394f023413,c0eeaf99962006852c2ff0d241d31b82e60ab1b60111d2f808e17c270c06b7a7,d6e4df8f3ec1682f9a4b2ddfcb5efa049207737593202e4cf2e86a184b4540a0,HYBRID_COGNITIVE_ABM,False,472,1000000.0,1000000.0,6.0,0.0,472.0,True,False,2020,572,1448,1.0,472.0,1935.1999999999998,5,458,1
R3_COG_3000.0_False_watts_strogatz_45,phase_4f_3,HYBRID_COGNITIVE_ABM,watts_strogatz,0.15,45,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,5a37e375f9649eb9ad6a2f03d983bf3e1d939e024883493e88b3af4d1f8f2af9,d0619b32479dae5a2293de8befcda2e49e537a4ff9aae194443aa090ccb84586,31a17255dde6bc53426d847c11432709b16a200d387bef348025a36720f56dae,HYBRID_COGNITIVE_ABM,False,470,1000000.0,1000000.0,8.0,0.0,470.0,True,False,3006,838,2168,1.0,470.0,1926.9999999999998,7,427,1
R3_COG_3000.0_False_watts_strogatz_46,phase_4f_3,HYBRID_COGNITIVE_ABM,watts_strogatz,0.15,46,3000.0,False,500,24,COMPLETED,mock,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,ddc7d3ec2f5eff5c87bd80d467745a22c2332fbe52c88bc18aaf20295559f747,d855e63402e2890fa61e70f22c1bd51502069cc605a3b0785ca421f6532357bf,31cfce04c55ad47bd91cb515d9d4c6ee08328edba16d91d0c6a1d4dcd46560d0,HYBRID_COGNITIVE_ABM,False,497,1000000.0,1000000.0,8.0,0.0,497.0,True,True,2941,946,1995,1.0,497.0,2037.6999999999998,7,454,1
