run_id,model_class_x,subsidy,dynamic_policy_x,time_to_50,peak_velocity,tipping_occurred
R3_COG_3000.0_False_barabasi_albert_42,HYBRID_COGNITIVE_ABM,3000.0,False,4,298,1
R3_COG_3000.0_False_barabasi_albert_43,HYBRID_COGNITIVE_ABM,3000.0,False,8,476,1
R3_COG_3000.0_False_barabasi_albert_44,HYBRID_COGNITIVE_ABM,3000.0,False,3,487,1
R3_COG_3000.0_False_barabasi_albert_45,HYBRID_COGNITIVE_ABM,3000.0,False,4,322,1
R3_COG_3000.0_False_barabasi_albert_46,HYBRID_COGNITIVE_ABM,3000.0,False,2,320,1
R3_COG_3000.0_False_barabasi_albert_47,HYBRID_COGNITIVE_ABM,3000.0,False,9,384,1
R3_COG_3000.0_False_barabasi_albert_48,HYBRID_COGNITIVE_ABM,3000.0,False,2,422,1
R3_COG_3000.0_False_barabasi_albert_49,HYBRID_COGNITIVE_ABM,3000.0,False,2,371,1
R3_COG_3000.0_False_barabasi_albert_50,HYBRID_COGNITIVE_ABM,3000.0,False,9,352,1
R3_COG_3000.0_False_barabasi_albert_51,HYBRID_COGNITIVE_ABM,3000.0,False,8,486,1
R3_COG_3000.0_False_watts_strogatz_42,HYBRID_COGNITIVE_ABM,3000.0,False,7,452,1
R3_COG_3000.0_False_watts_strogatz_43,HYBRID_COGNITIVE_ABM,3000.0,False,10,225,1
R3_COG_3000.0_False_watts_strogatz_44,HYBRID_COGNITIVE_ABM,3000.0,False,5,458,1
R3_COG_3000.0_False_watts_strogatz_45,HYBRID_COGNITIVE_ABM,3000.0,False,7,427,1
R3_COG_3000.0_False_watts_strogatz_46,HYBRID_COGNITIVE_ABM,3000.0,False,7,454,1
R3_COG_3000.0_False_watts_strogatz_47,HYBRID_COGNITIVE_ABM,3000.0,False,7,456,1
R3_COG_3000.0_False_watts_strogatz_48,HYBRID_COGNITIVE_ABM,3000.0,False,7,452,1
R3_COG_3000.0_False_watts_strogatz_49,HYBRID_COGNITIVE_ABM,3000.0,False,7,443,1
R3_COG_3000.0_False_watts_strogatz_50,HYBRID_COGNITIVE_ABM,3000.0,False,7,398,1
R3_COG_3000.0_False_watts_strogatz_51,HYBRID_COGNITIVE_ABM,3000.0,False,3,404,1
R3_DET_1000.0_False_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,1000.0,False,25,5,0
R3_DET_1000.0_False_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,1000.0,False,25,5,0
