run_id,subsidy,initial_budget,total_expenditure,exhaustion_quarter,exhaustion_adoption,target_reached,saturation_reached
R3_DET_1000.0_True_barabasi_albert_42,1000.0,1000000.0,1000000.0,17.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_43,1000.0,1000000.0,1000000.0,17.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_44,1000.0,1000000.0,1000000.0,17.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_45,1000.0,1000000.0,1000000.0,18.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_46,1000.0,1000000.0,1000000.0,18.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_47,1000.0,1000000.0,1000000.0,18.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_48,1000.0,1000000.0,1000000.0,17.0,483.0,True,True
R3_DET_1000.0_True_barabasi_albert_49,1000.0,1000000.0,1000000.0,16.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_50,1000.0,1000000.0,1000000.0,18.0,500.0,True,True
R3_DET_1000.0_True_barabasi_albert_51,1000.0,1000000.0,1000000.0,17.0,500.0,True,True
R3_DET_1000.0_True_watts_strogatz_42,1000.0,1000000.0,1000000.0,16.0,494.0,True,True
R3_DET_1000.0_True_watts_strogatz_43,1000.0,1000000.0,1000000.0,16.0,494.0,True,True
R3_DET_1000.0_True_watts_strogatz_44,1000.0,1000000.0,1000000.0,17.0,493.0,True,True
R3_DET_1000.0_True_watts_strogatz_45,1000.0,1000000.0,1000000.0,17.0,499.0,True,True
R3_DET_1000.0_True_watts_strogatz_46,1000.0,1000000.0,1000000.0,16.0,497.0,True,True
R3_DET_1000.0_True_watts_strogatz_47,1000.0,1000000.0,1000000.0,16.0,499.0,True,True
R3_DET_1000.0_True_watts_strogatz_48,1000.0,1000000.0,1000000.0,16.0,495.0,True,True
R3_DET_1000.0_True_watts_strogatz_49,1000.0,1000000.0,1000000.0,17.0,496.0,True,True
R3_DET_1000.0_True_watts_strogatz_50,1000.0,1000000.0,1000000.0,18.0,492.0,True,True
R3_DET_1000.0_True_watts_strogatz_51,1000.0,1000000.0,1000000.0,16.0,494.0,True,True
R3_DET_2000.0_True_barabasi_albert_42,2000.0,1000000.0,1000000.0,10.0,500.0,True,True
R3_DET_2000.0_True_barabasi_albert_43,2000.0,1000000.0,1000000.0,10.0,500.0,True,True
R3_DET_2000.0_True_barabasi_albert_44,2000.0,1000000.0,1000000.0,10.0,500.0,True,True
R3_DET_2000.0_True_barabasi_albert_45,2000.0,1000000.0,1000000.0,11.0,482.0,True,True
R3_DET_2000.0_True_barabasi_albert_46,2000.0,1000000.0,1000000.0,13.0,415.0,True,False
R3_DET_2000.0_True_barabasi_albert_47,2000.0,1000000.0,1000000.0,11.0,500.0,True,True
R3_DET_2000.0_True_barabasi_albert_48,2000.0,1000000.0,1000000.0,12.0,374.0,True,False
R3_DET_2000.0_True_barabasi_albert_49,2000.0,1000000.0,1000000.0,4.0,492.0,True,True
R3_DET_2000.0_True_barabasi_albert_50,2000.0,1000000.0,1000000.0,11.0,500.0,True,True
R3_DET_2000.0_True_barabasi_albert_51,2000.0,1000000.0,1000000.0,10.0,500.0,True,True
R3_DET_2000.0_True_watts_strogatz_42,2000.0,1000000.0,1000000.0,9.0,494.0,True,True
R3_DET_2000.0_True_watts_strogatz_43,2000.0,1000000.0,1000000.0,9.0,491.0,True,True
R3_DET_2000.0_True_watts_strogatz_44,2000.0,1000000.0,1000000.0,9.0,484.0,True,True
R3_DET_2000.0_True_watts_strogatz_45,2000.0,1000000.0,1000000.0,9.0,470.0,True,False
R3_DET_2000.0_True_watts_strogatz_46,2000.0,1000000.0,1000000.0,9.0,497.0,True,True
R3_DET_2000.0_True_watts_strogatz_47,2000.0,1000000.0,1000000.0,9.0,499.0,True,True
R3_DET_2000.0_True_watts_strogatz_48,2000.0,1000000.0,1000000.0,9.0,495.0,True,True
R3_DET_2000.0_True_watts_strogatz_49,2000.0,1000000.0,1000000.0,9.0,486.0,True,True
R3_DET_2000.0_True_watts_strogatz_50,2000.0,1000000.0,1000000.0,9.0,432.0,True,False
R3_DET_2000.0_True_watts_strogatz_51,2000.0,1000000.0,1000000.0,10.0,395.0,True,False
R3_DET_3000.0_True_barabasi_albert_42,3000.0,1000000.0,1000000.0,3.0,491.0,True,True
R3_DET_3000.0_True_barabasi_albert_43,3000.0,1000000.0,1000000.0,3.0,500.0,True,True
R3_DET_3000.0_True_barabasi_albert_44,3000.0,1000000.0,1000000.0,4.0,496.0,True,True
R3_DET_3000.0_True_barabasi_albert_45,3000.0,1000000.0,1000000.0,3.0,500.0,True,True
R3_DET_3000.0_True_barabasi_albert_46,3000.0,1000000.0,1000000.0,3.0,472.0,True,False
R3_DET_3000.0_True_barabasi_albert_47,3000.0,1000000.0,1000000.0,3.0,493.0,True,True
R3_DET_3000.0_True_barabasi_albert_48,3000.0,1000000.0,1000000.0,3.0,500.0,True,True
R3_DET_3000.0_True_barabasi_albert_49,3000.0,1000000.0,1000000.0,3.0,494.0,True,True
R3_DET_3000.0_True_barabasi_albert_50,3000.0,1000000.0,1000000.0,3.0,495.0,True,True
R3_DET_3000.0_True_barabasi_albert_51,3000.0,1000000.0,1000000.0,3.0,496.0,True,True
R3_DET_3000.0_True_watts_strogatz_42,3000.0,1000000.0,1000000.0,3.0,433.0,True,False
R3_DET_3000.0_True_watts_strogatz_43,3000.0,1000000.0,1000000.0,3.0,324.0,True,False
R3_DET_3000.0_True_watts_strogatz_44,3000.0,1000000.0,1000000.0,3.0,411.0,True,False
R3_DET_3000.0_True_watts_strogatz_45,3000.0,1000000.0,1000000.0,3.0,473.0,True,False
R3_DET_3000.0_True_watts_strogatz_46,3000.0,1000000.0,1000000.0,3.0,496.0,True,True
R3_DET_3000.0_True_watts_strogatz_47,3000.0,1000000.0,1000000.0,3.0,466.0,True,False
R3_DET_3000.0_True_watts_strogatz_48,3000.0,1000000.0,1000000.0,3.0,474.0,True,False
R3_DET_3000.0_True_watts_strogatz_49,3000.0,1000000.0,1000000.0,3.0,427.0,True,False
R3_DET_3000.0_True_watts_strogatz_50,3000.0,1000000.0,1000000.0,3.0,399.0,True,False
R3_DET_3000.0_True_watts_strogatz_51,3000.0,1000000.0,1000000.0,3.0,489.0,True,True
R3_DET_4000.0_True_barabasi_albert_42,4000.0,1000000.0,1000000.0,2.0,492.0,True,True
R3_DET_4000.0_True_barabasi_albert_43,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_44,4000.0,1000000.0,842913.5260115607,,,True,False
R3_DET_4000.0_True_barabasi_albert_45,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_46,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_47,4000.0,1000000.0,1000000.0,2.0,494.0,True,True
R3_DET_4000.0_True_barabasi_albert_48,4000.0,1000000.0,1000000.0,2.0,499.0,True,True
R3_DET_4000.0_True_barabasi_albert_49,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_50,4000.0,1000000.0,1000000.0,2.0,495.0,True,True
R3_DET_4000.0_True_barabasi_albert_51,4000.0,1000000.0,1000000.0,2.0,498.0,True,True
R3_DET_4000.0_True_watts_strogatz_42,4000.0,1000000.0,1000000.0,2.0,433.0,True,False
R3_DET_4000.0_True_watts_strogatz_43,4000.0,1000000.0,1000000.0,2.0,325.0,True,False
R3_DET_4000.0_True_watts_strogatz_44,4000.0,1000000.0,1000000.0,2.0,420.0,True,False
R3_DET_4000.0_True_watts_strogatz_45,4000.0,1000000.0,1000000.0,2.0,480.0,True,True
