subsidy,topology,static_adoption,abm_adoption,diff_mean,cohen_d
1000.0,watts_strogatz,5.0,5.0,0.0,0.0
1000.0,barabasi_albert,5.0,5.0,0.0,0.0
2000.0,watts_strogatz,500.0,500.0,0.0,0.0
2000.0,barabasi_albert,500.0,500.0,0.0,0.0
3000.0,watts_strogatz,500.0,466.5,-33.5,-1.3205121838941987
3000.0,barabasi_albert,500.0,485.2,-14.8,-0.9634433021800923
4000.0,watts_strogatz,500.0,444.0,-56.0,-1.5539576552308345
4000.0,barabasi_albert,500.0,497.8,-2.2,-1.0332700802904913
5000.0,watts_strogatz,500.0,500.0,0.0,0.0
5000.0,barabasi_albert,500.0,500.0,0.0,0.0
