,subsidy,dynamic_policy_x,final_adoption,final_adoption,final_adoption,final_adoption,final_adoption,time_to_50,tipping_occurred,saturation_reached,total_expenditure,exhaustion_quarter
,,,mean,std,median,min,max,mean,mean,mean,mean,mean
0,1000.0,False,5.0,0.0,5.0,5,5,25.0,0.0,0.0,0.0,
1,1000.0,True,496.85,4.1710152746127305,499.0,484,500,15.65,1.0,1.0,1000000.0,16.9
2,2000.0,False,500.0,0.0,500.0,500,500,16.325,1.0,1.0,990000.0,
3,2000.0,True,475.35,38.55177653084498,493.0,375,500,8.65,1.0,0.75,1000000.0,9.65
4,3000.0,False,483.9,26.9768890417869,498.0,406,500,7.266666666666667,1.0,0.7666666666666667,1000000.0,8.266666666666667
5,3000.0,True,466.45,45.945591392657605,490.0,324,500,2.05,1.0,0.55,1000000.0,3.05
6,4000.0,False,485.45,34.49187938616486,500.0,325,500,4.025,1.0,0.825,1000000.0,5.025
7,4000.0,True,458.45,65.83030417192693,491.5,251,500,1.1,1.0,0.6,992145.676300578,2.0
8,5000.0,False,500.0,0.0,500.0,500,500,1.0,1.0,1.0,1000000.0,2.0
9,5000.0,True,500.0,0.0,500.0,500,500,1.0,1.0,1.0,1000000.0,2.0
